wavelength	P1	P2	P3	P4	P5	P6	P7	P8	P9
443	0.036292511	0.027005644	0.031961649	0.029473553	0.035215568	0.052972765	0.027978677	0.036173747	0.036748489
444	0.036710868	0.027366664	0.032363097	0.029848761	0.035683033	0.053607255	0.028329481	0.036654804	0.03718284
445	0.037127475	0.027729966	0.032771728	0.030228443	0.036150951	0.054242896	0.02868214	0.037142921	0.03761581
446	0.03754128	0.028094965	0.033182989	0.030612328	0.036619848	0.054879224	0.02903626	0.037635107	0.038047898
447	0.037955367	0.02846198	0.033596496	0.03099848	0.037093813	0.055513246	0.029391808	0.03812792	0.038481836
448	0.038369641	0.028829903	0.034014152	0.03138719	0.037569288	0.056145214	0.029752057	0.038620894	0.038918728
449	0.038784454	0.029199377	0.03443652	0.031778233	0.038044312	0.056777594	0.030116562	0.039115046	0.039360256
450	0.039200654	0.029571602	0.0348606	0.032170844	0.038521734	0.057409734	0.030479305	0.039607465	0.039805332
451	0.039610244	0.029945125	0.0352864	0.032568008	0.038999797	0.058038053	0.030844536	0.04009878	0.040246893
452	0.040019215	0.030322536	0.03572149	0.032971001	0.039484541	0.058672443	0.031215803	0.040597579	0.040689657
453	0.040431095	0.030702477	0.036162974	0.033371691	0.039974164	0.059312871	0.031588361	0.041102144	0.041133698
454	0.040845589	0.031090535	0.0366084	0.033775737	0.040470793	0.059961662	0.031964706	0.041611197	0.041578083
455	0.041265469	0.031486245	0.037059171	0.034181478	0.040969312	0.060619129	0.032343201	0.04212458	0.042023841
456	0.041689677	0.031886162	0.037516632	0.034586927	0.041465116	0.061281635	0.032721965	0.042642227	0.042471573
457	0.042108543	0.032289163	0.037979141	0.034994772	0.041961524	0.061941891	0.03310142	0.043163499	0.042918552
458	0.042523758	0.032693401	0.038441139	0.035400881	0.04245868	0.062598948	0.033480003	0.043680325	0.04336127
459	0.042937803	0.033096001	0.038899532	0.035805208	0.042955313	0.063248716	0.033857593	0.044189428	0.043801412
460	0.043348121	0.033494779	0.039357845	0.036213298	0.043449648	0.06388647	0.034235047	0.044695223	0.044241228
461	0.043756558	0.033891811	0.03981865	0.036623258	0.043943556	0.064523299	0.034612954	0.045201874	0.044684915
462	0.044166214	0.034291639	0.040284323	0.037035681	0.044439262	0.065163536	0.034992896	0.045712179	0.045131043
463	0.044577637	0.034695785	0.040755279	0.037451195	0.044936071	0.065802993	0.035378049	0.04622469	0.045574391
464	0.044989289	0.035100446	0.041233669	0.037864127	0.045434013	0.066442078	0.035765741	0.046740581	0.046017931
465	0.045400879	0.03550522	0.041714197	0.038274814	0.045931941	0.067079957	0.03615314	0.047256788	0.046461951
466	0.045811657	0.035912363	0.042192269	0.038688121	0.046429036	0.067717595	0.036540885	0.04777229	0.046904631
467	0.046223496	0.036320581	0.042673956	0.039102333	0.046923293	0.068358001	0.036925956	0.048291393	0.047344501
468	0.046635785	0.036729234	0.043156647	0.039512601	0.047415188	0.06899968	0.037307296	0.048810953	0.047783689
469	0.047044316	0.037137324	0.043635822	0.039918277	0.047907258	0.069637928	0.037685452	0.049325076	0.048221326
