Wavelength	ewt_exp00120.asd	ewt_exp00121.asd	ewt_exp00122.asd	ewt_exp00123.asd	ewt_exp00124.asd	ewt_exp00125.asd	ewt_exp00126.asd	ewt_exp00127.asd	ewt_exp00128.asd	ewt_exp00129.asd	ewt_exp00130.asd	ewt_exp00131.asd	ewt_exp00132.asd	ewt_exp00133.asd	ewt_exp00134.asd	ewt_exp00135.asd	ewt_exp00136.asd	ewt_exp00137.asd	ewt_exp00138.asd	ewt_exp00139.asd	ewt_exp00140.asd	ewt_exp00141.asd	ewt_exp00142.asd	ewt_exp00143.asd	ewt_exp00144.asd	ewt_exp00145.asd	ewt_exp00146.asd	ewt_exp00147.asd	ewt_exp00148.asd	ewt_exp00149.asd	ewt_exp00150.asd	ewt_exp00151.asd	ewt_exp00152.asd	ewt_exp00153.asd	ewt_exp00154.asd	ewt_exp00155.asd	ewt_exp00156.asd	ewt_exp00157.asd	ewt_exp00158.asd	ewt_exp00159.asd
1188	0.330458643777257	0.329521890006573	0.330214345988844	0.33085098430183	0.327867250929576	0.324722563587764	0.323859527118203	0.321022658794286	0.327900953537743	0.332436608144522	0.331363599136115	0.33240142628362	0.332007096008784	0.332128336163345	0.331946513030859	0.331579183767617	0.331291309870936	0.330623422024573	0.330273561120247	0.330327575150343	0.328837431940167	0.329053216838474	0.329406833545822	0.330255115193772	0.330502737742463	0.330395594625827	0.330170624258417	0.330314502456679	0.330531907818553	0.330766197926438	0.330970729330795	0.331304462635275	0.331981836700776	0.331831654457554	0.330423929561377	0.32961783072523	0.329329971467753	0.32904591925063	0.329195845588652	 0.329057201937621 
1189	0.330257042931713	0.329365623412617	0.329886845768812	0.330575496327101	0.327654619749398	0.324583131916335	0.32368807105901	0.320799238670701	0.327820124199644	0.332227165102265	0.331150977853281	0.332240939075451	0.331863908906556	0.331861005530837	0.331876673171943	0.331437991144714	0.331126673917505	0.330440676228099	0.330144420163174	0.330149512032985	0.328734302238932	0.328732720013035	0.329267524708292	0.330086867791117	0.330323406859512	0.330083815379796	0.329869473473051	0.330086686792122	0.330377075189269	0.330597499189131	0.330793358530272	0.331038251839824	0.331839030449849	0.331766199572849	0.330402491677016	0.329519062528695	0.329143288434111	0.328856861609502	0.329111891377055	 0.328883776649882 
1190	0.33004117847656	0.329153445822105	0.329671529679015	0.330381441627186	0.327435975049017	0.324387684942629	0.323474110867186	0.320589945053214	0.327607514568562	0.33203386459176	0.330942481525662	0.33203810550311	0.331653059161258	0.331665987577134	0.33168794557857	0.331239233458032	0.330926046763455	0.330247077225626	0.329956383658511	0.329954968543737	0.328556141665887	0.328545945342741	0.329103999680153	0.329911730409988	0.330163228014892	0.329910351295636	0.329679964583975	0.329929290735609	0.330219212210955	0.330430381947714	0.330638036638351	0.330891056907953	0.331703687530107	0.331603146759872	0.330228817073677	0.329349665017745	0.32898025163405	0.328684134190786	0.328943538019732	 0.328721823012984 
1191	0.329774969594294	0.328968127351392	0.329551573569302	0.330348026799684	0.327147132358671	0.324184324266852	0.323180793317203	0.320357883680343	0.327396278383944	0.331869147946803	0.330744661782841	0.331860095020615	0.331368866791206	0.331445380714076	0.331388102883939	0.33094505072031	0.330717345395615	0.330105789652833	0.329807249704663	0.329792528630597	0.328446240602524	0.328465770317539	0.328963014996181	0.329749979705468	0.330000580963715	0.329784343345747	0.329574591574087	0.329892413937485	0.330119699692928	0.330407882800408	0.330483708084202	0.330814534211922	0.331602187925756	0.331389268543948	0.329998946175251	0.329129230730995	0.328778535567324	0.328499477960106	0.328696065337715	 0.328552513901263 
1192	0.329594599863628	0.328809038163102	0.329387603223369	0.330184028385294	0.326963135173751	0.324014413135686	0.32299551136106	0.320195011641633	0.327176726062358	0.331686610276987	0.33057575727127	0.331716501848975	0.331195235669502	0.331264565419988	0.331212188866485	0.330786568903884	0.330558614639056	0.329949299846834	0.329638290869429	0.32964308477454	0.328305787522375	0.328311061533394	0.328836721824959	0.329606679908734	0.329856970267604	0.329644115305795	0.32944437397592	0.329754951146641	0.329997106438746	0.330255915353975	0.33035772894355	0.33068669422221	0.331475386234375	0.33127924929434	0.329869897540698	0.329010609417959	0.328652230279354	0.328369805527238	0.328565855244828	 0.328413963406557 
1193	0.329465267566233	0.328615654536171	0.329214646088529	0.329907337273494	0.326843436301469	0.323826528715614	0.322840478765298	0.320102889241417	0.326842563732153	0.33150797892281	0.330434376826281	0.331557334773759	0.331066676723951	0.331156060998793	0.331106756995769	0.330718381628824	0.330367922806326	0.329716917771651	0.329364686990033	0.329449669674048	0.328044629470126	0.328099170505294	0.328708143046527	0.329444800355597	0.32975075534422	0.32955320498791	0.329297666674845	0.329540530664537	0.329842796307995	0.32991394475061	0.330259209309331	0.330582191953945	0.331320796274076	0.331185275204825	0.329686901177402	0.328898740324465	0.328592484423129	0.328252738929353	0.328447668308275	 0.328249642147905 
1194	0.329353080228498	0.328470128812082	0.329081409745328	0.329781257007702	0.326725064637056	0.323684510277739	0.322735527765996	0.319957856341583	0.326680129214391	0.331373144239225	0.330304909370982	0.331428450295566	0.330947883905604	0.331049211457993	0.330981499383104	0.330608370965751	0.33026048415178	0.329601885429376	0.329254561545396	0.329339069711914	0.327928322975279	0.328039363624748	0.3285962627605	0.329357149894885	0.329645790974136	0.329483277832938	0.329208777177503	0.329446464464714	0.329758739573571	0.329810561761095	0.330185693286657	0.330513070217873	0.331215599425055	0.331102138544267	0.329594589412968	0.328821788646194	0.328522207646681	0.328193711479455	0.32839600475556	 0.328199095299563 
1195	0.329290894725404	0.32837304959879	0.328959145081642	0.329720061354177	0.326643091740518	0.323586381441075	0.322724339372797	0.31980512566974	0.326621878610235	0.33124171515993	0.33021337858926	0.331396540666844	0.330921689788773	0.330938485462647	0.330888939426941	0.330522975684691	0.330268706097952	0.32960149787932	0.329283610815629	0.32931374808688	0.327953247815384	0.32808133056788	0.328496878759157	0.329348832811542	0.329525326782076	0.329399412450654	0.32915469373202	0.32937904316207	0.329712132752058	0.329843278028384	0.330140159309127	0.330426708224701	0.331115831594752	0.331129734158331	0.329660357883742	0.32883891313483	0.328462847581975	0.328210663948361	0.328482412997023	 0.328268403262971 
1196	0.329217424207049	0.328321316276399	0.328879962159757	0.329639413362141	0.326566465390269	0.323498054463521	0.322661505336368	0.319687300394244	0.326543375597158	0.331139236849163	0.330109705714477	0.331286402276536	0.330814483938489	0.330831374950904	0.33079027015567	0.330460834220669	0.330219939566577	0.329530371645064	0.329222899715339	0.329266645520189	0.327911104247184	0.328024546787685	0.328436029284959	0.329296045464092	0.329450368402064	0.329340510840275	0.329122256959274	0.329333375584246	0.329681338688017	0.329794240586814	0.33009365424748	0.330365182547621	0.331055882710736	0.331069186588385	0.329634112793373	0.328817011371296	0.328431267634526	0.328199778537708	0.328468793232916	 0.32824390683323 
1197	0.32915816054378	0.328297377889186	0.32883786270565	0.329633908934629	0.326492386482009	0.32340721413049	0.322610008695938	0.319499033811665	0.326566517885229	0.331081346587686	0.329965780324828	0.331052957212374	0.330601563887346	0.330766456249148	0.330632974677849	0.330386167591088	0.330192947187317	0.329439327767245	0.329180324221433	0.32924146897474	0.327839291127719	0.327989327220472	0.328389627165907	0.32923711337667	0.329388607503628	0.329348942048795	0.329135281012499	0.329390622254574	0.329705038183538	0.329812095478743	0.330036851577335	0.330364525566795	0.331035007263934	0.330875622028247	0.329528823958968	0.32875310232875	0.328417332221824	0.328205349158051	0.328394679706363	 0.328197811721991 
